Timestamp,Name,Value
6.612081,"systemTime",2022-05-22 18:33:33.533690
11.611388,"systemTime",2022-05-22 18:33:38.533320
16.614017,"systemTime",2022-05-22 18:33:43.536022
21.612175,"systemTime",2022-05-22 18:33:48.534252
23.036729,"/indexerRPM",0
23.036805,"/flywheelRPM",0
23.036859,"/kickerRPM",0
23.049097,"/pose","0.0,0.0,-1.9936666552399537E-13"
23.082258,"/indexerRPM",0
23.082328,"/flywheelRPM",0
23.082353,"/kickerRPM",0
23.083532,"/pose","0.0,0.0,-1.874740808686277E-13"
23.098997,"/indexerRPM",0
23.099044,"/flywheelRPM",0
23.099071,"/kickerRPM",0
23.100132,"/pose","0.0,0.0,-1.8457702273007388E-13"
23.113593,"/indexerRPM",0
23.113637,"/flywheelRPM",0
23.113661,"/kickerRPM",0
23.114673,"/pose","0.0,0.0,-1.8232230450263187E-13"
23.126854,"/indexerRPM",0
23.12692,"/flywheelRPM",0
23.126944,"/kickerRPM",0
23.127974,"/pose","0.0,0.0,-1.798301119900165E-13"
23.141357,"/indexerRPM",0
23.141402,"/flywheelRPM",0
23.141434,"/kickerRPM",0
23.142568,"/pose","0.0,0.0,-1.76136994477744E-13"
23.157099,"/indexerRPM",0
23.157222,"/flywheelRPM",0
23.157253,"/kickerRPM",0
23.158261,"/pose","0.0,0.0,-1.743123038492665E-13"
23.171578,"/indexerRPM",0
23.171625,"/flywheelRPM",0
23.171649,"/kickerRPM",0
23.173644,"/pose","0.0,0.0,-4.793689978082914E-5"
23.190822,"/indexerRPM",0
23.190874,"/flywheelRPM",0
23.191011,"/kickerRPM",0
23.192554,"/pose","0.0,0.0,-4.79368997491161E-5"
23.213376,"/indexerRPM",0
23.213442,"/flywheelRPM",0
23.213607,"/kickerRPM",0
23.214901,"/pose","0.0,0.0,-4.793689971472525E-5"
23.230867,"/indexerRPM",0
23.230922,"/flywheelRPM",0
23.230952,"/kickerRPM",0
23.232538,"/pose","0.0,0.0,-4.793689970335253E-5"
23.251078,"/indexerRPM",0
23.251132,"/flywheelRPM",0
23.251158,"/kickerRPM",0
23.253123,"/pose","0.0,0.0,-4.793689967539965E-5"
23.271469,"/indexerRPM",0
23.271515,"/flywheelRPM",0
23.271538,"/kickerRPM",0
23.27292,"/pose","0.0,0.0,-4.79368996645408E-5"
23.291222,"/indexerRPM",0
23.291289,"/flywheelRPM",0
23.291312,"/kickerRPM",0
23.292718,"/pose","0.0,0.0,-4.793689964764683E-5"
23.312505,"/indexerRPM",0
23.312576,"/flywheelRPM",0
23.312603,"/kickerRPM",0
23.314089,"/pose","0.0,0.0,-4.793689964469946E-5"
23.331071,"/indexerRPM",0
23.331108,"/flywheelRPM",0
23.331131,"/kickerRPM",0
23.332227,"/pose","0.0,0.0,-4.7936899635119286E-5"
23.350495,"/indexerRPM",0
23.350545,"/flywheelRPM",0
23.350636,"/kickerRPM",0
23.351823,"/pose","0.0,0.0,-4.79368996121196E-5"
23.370738,"/indexerRPM",0
23.371592,"/flywheelRPM",0
23.371626,"/kickerRPM",0
23.372688,"/pose","0.0,0.0,-9.587379919517805E-5"
23.39033,"/indexerRPM",0
23.390377,"/flywheelRPM",0
23.390634,"/kickerRPM",0
23.393159,"/pose","0.0,0.0,-9.587379920175566E-5"
23.413759,"/indexerRPM",0
23.413803,"/flywheelRPM",0
23.413829,"/kickerRPM",0
23.415063,"/pose","0.0,0.0,-9.587379918971078E-5"
23.43064,"/indexerRPM",0
23.430695,"/flywheelRPM",0
23.430723,"/kickerRPM",0
23.432004,"/pose","0.0,0.0,-9.587379918220275E-5"
23.450853,"/indexerRPM",0
23.450921,"/flywheelRPM",0
23.450946,"/kickerRPM",0
23.452094,"/pose","0.0,0.0,-9.587379921791724E-5"
23.470814,"/indexerRPM",0
23.47089,"/flywheelRPM",0
23.470919,"/kickerRPM",0
23.472308,"/pose","0.0,0.0,-9.587379920115264E-5"
23.490647,"/indexerRPM",0
23.490711,"/flywheelRPM",0
23.490735,"/kickerRPM",0
23.491929,"/pose","0.0,0.0,-9.587379918486304E-5"
23.510511,"/indexerRPM",0
23.510579,"/flywheelRPM",0
23.510602,"/kickerRPM",0
23.511857,"/pose","0.0,0.0,-9.587379921159343E-5"
23.531262,"/indexerRPM",0
23.531332,"/flywheelRPM",0
23.531357,"/kickerRPM",0
23.532261,"/pose","0.0,0.0,-9.587379921509942E-5"
23.550545,"/indexerRPM",0
23.550609,"/flywheelRPM",0
23.550633,"/kickerRPM",0
23.551781,"/pose","0.0,0.0,-9.587379925686155E-5"
23.572125,"/indexerRPM",0
23.572196,"/flywheelRPM",0
23.572219,"/kickerRPM",0
23.57331,"/pose","0.0,0.0,-4.793689961551788E-5"
23.591421,"/indexerRPM",0
23.591466,"/flywheelRPM",0
23.591492,"/kickerRPM",0
23.592364,"/pose","0.0,0.0,-4.79368996136735E-5"
23.6128,"/indexerRPM",0
23.612844,"/flywheelRPM",0
23.612868,"/kickerRPM",0
23.613994,"/pose","0.0,0.0,-4.7936899608454655E-5"
23.631063,"/indexerRPM",0
23.631109,"/flywheelRPM",0
23.631137,"/kickerRPM",0
23.632167,"/pose","0.0,0.0,-4.793689960259078E-5"
23.650709,"/indexerRPM",0
23.650782,"/flywheelRPM",0
23.650944,"/kickerRPM",0
23.652263,"/pose","0.0,0.0,-4.793689958791317E-5"
23.67152,"/indexerRPM",0
23.671591,"/flywheelRPM",0
23.671619,"/kickerRPM",0
23.672613,"/pose","0.0,0.0,-4.793689957927162E-5"
23.691451,"/indexerRPM",0
23.691518,"/flywheelRPM",0
23.691552,"/kickerRPM",0
23.692559,"/pose","0.0,0.0,-9.587379920399122E-5"
23.711075,"/indexerRPM",0
23.711117,"/flywheelRPM",0
23.711145,"/kickerRPM",0
23.712196,"/pose","0.0,0.0,-9.587379918644384E-5"
23.730855,"/indexerRPM",0
23.730896,"/flywheelRPM",0
23.73092,"/kickerRPM",0
23.732017,"/pose","0.0,0.0,-9.587379921659812E-5"
23.751412,"/indexerRPM",0
23.751481,"/flywheelRPM",0
23.751505,"/kickerRPM",0
23.75277,"/pose","0.0,0.0,-9.587379922834045E-5"
23.771445,"/indexerRPM",0
23.771528,"/flywheelRPM",0
23.771556,"/kickerRPM",0
